theTimes theMdot theDWR theX theY theZ theAltitude theVx theVy theVz thePitch theYaw theAOA theMach thePdyn theFlux theThrust theDrag theAcc theAccProp theGuidFlag theVrel theFPARel theFPA theLON theLAT theNGV theDV_drag theDV_Prop theIncidence theSideslip theApogeeAltitude theInclination theMass Flag_HSSep Flag_MPLSep stage thePOS_ECI_x thePOS_ECI_y thePOS_ECI_z theVEL_ECI_x theVEL_ECI_y theVEL_ECI_z theVREL_ECI_x theVREL_ECI_y theVREL_ECI_z
0.06103079918 2895.3 0 918001.0994 -5530520.509 3031388.662 0.009517775849 403.336713 66.67179439 0.1498645863 1.570796327 3.050848418 0.002616846964 0.0009167191823 0.05960411911 0.01859352504 8222570.527 0.1885576778 14.90073068 14.90073102 1 0.3119503369 1.565364025 0.000763057969 -1.40631231 0.49850721 14.90073068 6.763030473e-09 0.9092579032 -0.002616846746 -1.066459595e-06 -4856.80828 0.4956917577 551823.2975 0 0 1 918001.0994 -5530520.509 3031388.662 403.336713 66.67179439 0.1498645863 0.04479742323 -0.2699014808 0.1498645863
0.0705010956 2895.3 0 918004.9191 -5530519.878 3031388.664 0.01270135492 403.3436218 66.630169 0.1731319154 1.570796327 3.050848418 0.002616659483 0.001059045452 0.07954862473 0.02866793424 8222570.745 0.2516473278 14.90147139 14.90147185 1 0.360382525 1.565364212 0.0008815273076 -1.40631231 0.49850721 14.90147139 1.054049903e-08 1.050375751 -0.002616659193 -1.231954028e-06 -4856.803433 0.4956917577 551795.8782 0 0 1 918004.9191 -5530519.878 3031388.664 403.3436218 66.630169 0.1731319154 0.05175218706 -0.3118054126 0.1731319154
0.07997139203 2895.3 0 918008.7389 -5530519.247 3031388.665 0.01634363364 403.3505315 66.58853752 0.1964025987 1.570796327 3.050848418 0.002616472306 0.001201392355 0.1023700752 0.04185111108 8222570.995 0.3238354349 14.90221222 14.90221281 1 0.4088217286 1.565364398 0.001000013783 -1.40631231 0.49850721 14.90221222 1.547905056e-08 1.191500615 -0.002616471932 -1.397451406e-06 -4856.797887 0.4956917577 551768.4588 0 0 1 918008.7389 -5530519.247 3031388.665 403.3505315 66.58853752 0.1964025987 0.05870787537 -0.353715437 0.1964025987
0.09417683666 2895.3 0 918014.4688 -5530518.301 3031388.668 0.02266725805 403.3608978 66.52607888 0.2313149139 1.570796327 3.050848418 0.002616192107 0.001414951406 0.1419992427 0.06837173936 8222571.428 0.4491846648 14.90332368 14.90332449 1 0.4814936902 1.565364677 0.001177775625 -1.40631231 0.49850721 14.90332368 2.543029888e-08 1.40320107 -0.002616191589 -1.645701759e-06 -4856.788258 0.4956917577 551727.3298 0 0 1 918014.4688 -5530518.301 3031388.668 403.3608978 66.52607888 0.2313149139 0.06914314159 -0.416591899 0.2313149139
0.1083822813 2895.3 0 918020.1988 -5530517.357 3031388.672 0.03002332617 403.3712662 66.46360654 0.2662347789 1.570796327 3.050848418 0.002615912589 0.001628556912 0.1881085301 0.1042462566 8222571.933 0.5950246072 14.90443539 14.90443647 1 0.5541814427 1.565364955 0.001355576022 -1.40631231 0.49850721 14.90443539 3.887361259e-08 1.614917319 -0.002615911903 -1.893957354e-06 -4856.777056 0.4956917577 551686.2008 0 0 1 918020.1988 -5530517.357 3031388.672 403.3712662 66.46360654 0.2662347789 0.07958048876 -0.4794820745 0.2662347789
0.1225877259 2895.3 0 918025.9289 -5530516.413 3031388.676 0.03841206431 403.3816369 66.4011205 0.3011621955 1.570796327 3.050848418 0.002615633752 0.001842208889 0.240702132 0.1508925535 8222572.507 0.7613667636 14.90554737 14.90554875 1 0.6268849897 1.565365231 0.00153341497 -1.40631231 0.49850721 14.90554737 5.633729835e-08 1.826649366 -0.002615632875 -2.142218111e-06 -4856.764281 0.4956917577 551645.0718 0 0 1 918025.9289 -5530516.413 3031388.676 403.3816369 66.4011205 0.3011621955 0.09001991741 -0.5423859666 0.3011621955
0.1367931706 2895.3 0 918031.6592 -5530515.47 3031388.68 0.04783369973 403.3920096 66.33862075 0.3360971654 1.570796327 3.050848418 0.002615355596 0.002055907357 0.2997842413 0.2097303548 8222573.153 0.9482226286 14.90665959 14.90666131 1 0.6996043349 1.565365507 0.001711292469 -1.40631231 0.49850721 14.90665959 7.835007709e-08 2.038397216 -0.002615354504 -2.390484146e-06 -4856.749932 0.4956917578 551603.9427 0 0 1 918031.6592 -5530515.47 3031388.68 403.3920096 66.33862075 0.3360971654 0.100461428 -0.6053035785 0.3360971654
0.1581013375 2895.3 0 918040.2549 -5530514.058 3031388.688 0.06390331965 403.4075728 66.24484541 0.3885137868 1.570796327 3.050848418 0.002614939639 0.002376542269 0.4005825255 0.3239562889 8222574.254 1.266994757 14.90832842 14.90833072 1 0.8087129824 1.565365919 0.001978180994 -1.40631231 0.49850721 14.90832842 1.211391492e-07 2.35604863 -0.002614938179 -2.762892352e-06 -4856.725455 0.4956917578 551542.2492 0 0 1 918040.2549 -5530514.058 3031388.688 403.4075728 66.24484541 0.3885137868 0.1161275989 -0.6997057282 0.3885137868
0.1794095045 2895.3 0 918048.851 -5530512.647 3031388.697 0.08229821641 403.4231408 66.1510392 0.4409474133 1.570796327 3.050848418 0.002614525213 0.002697281887 0.516003522 0.4736175462 8222575.515 1.631987317 14.90999782 14.91000078 1 0.9178571966 1.565366329 0.002245156246 -1.40631231 0.49850721 14.90999782 1.771420069e-07 2.673735623 -0.002614523333 -3.135311353e-06 -4856.697433 0.4956917579 551480.5557 0 0 1 918048.851 -5530512.647 3031388.697 403.4231408 66.1510392 0.4409474133 0.1317984571 -0.7941387655 0.4409474133
0.2007176714 2895.3 0 918057.4473 -5530511.239 3031388.707 0.103019149 403.4387136 66.05720213 0.4933980507 1.570796327 3.050848418 0.002614112318 0.003018126276 0.6460613633 0.663528918 8222576.935 2.043239013 14.9116678 14.91167151 1 1.02703699 1.565366737 0.002512218219 -1.40631231 0.49850721 14.9116678 2.481483248e-07 2.991458209 -0.002614109964 -3.507740645e-06 -4856.665864 0.4956917579 551418.8621 0 0 1 918057.4473 -5530511.239 3031388.707 403.4387136 66.05720213 0.4933980507 0.1474740044 -0.8886027013 0.4933980507
